"NO","Code","Prev","Open","High","Low","Last","Change","Change(%)","Change(%)","Freq","Volume","Value(T)"
"66","NIKL","820","825","880","815","845","Rise","25","3.04","488","11,907","1,007,607"
"67","TKIM","6,400","6,475","6,475","6,375","6,425","Rise","25","0.39","671","10,853","6,957,782"
"68","BALI","795","785","820","780","820","Rise","25","3.14","58","429","34,493"
"69","ASDM","955","955","980","955","980","Rise","25","2.61","9","10","959"
"70","ADMF","7,975","7,975","8,000","7,950","8,000","Rise","25","0.31","75","459","366,742"
"71","MEGA","5,400","5,400","5,500","5,325","5,425","Rise","25","0.46","63","268","144,790"
"72","ARTO","9,650","9,700","9,800","9,550","9,675","Rise","25","0.25","7,090","158,018","152,580,232"
"73","BSML","940","940","965","925","965","Rise","25","2.65","1,157","30,087","2,861,195"
"74","PGAS","1,580","1,580","1,615","1,580","1,605","Rise","25","1.58","6,557","477,508","76,490,468"
"75","PYFA","1,020","1,020","1,045","1,015","1,045","Rise","25","2.45","30","1,148","117,966"
"76","DAYA","212","212","258","204","234","Rise","22","10.37","126","627","14,105"
"77","DSNG","505","505","525","500","525","Rise","20","3.96","1,408","209,010","10,620,870"
"78","CMRY","4,000","4,010","4,020","3,960","4,020","Rise","20","0.50","214","1,487","596,794"
"79","BIRD","1,595","1,600","1,625","1,580","1,615","Rise","20","1.25","1,820","22,477","3,611,124"
"80","IMPC","3,970","3,970","4,020","3,970","3,990","Rise","20","0.50","608","32,703","13,059,856"
"81","CASA","765","765","785","765","785","Rise","20","2.61","629","78,462","6,072,433"
"82","MPMX","930","935","965","930","950","Rise","20","2.15","3,629","146,825","13,954,959"
"83","MAPA","3,000","3,010","3,090","2,990","3,020","Rise","20","0.66","93","2,941","885,205"
"84","PEGE","810","820","880","820","830","Rise","20","2.46","43","1,356","114,303"
"85","TEBE","750","740","770","740","770","Rise","20","2.66","94","1,827","138,375"
"86","PALM","765","765","790","765","785","Rise","20","2.61","527","32,653","2,551,759"
"87","BSSR","3,530","3,530","3,590","3,440","3,550","Rise","20","0.56","966","10,745","3,763,062"
"88","INDY","2,450","2,450","2,520","2,430","2,470","Rise","20","0.81","2,619","112,300","27,887,272"
"89","BRMS","220","222","242","216","238","Rise","18","8.18","26,021","10,142,401","237,973,190"
"90","AHAP","81","82","107","82","99","Rise","18","22.22","8,189","948,480","9,475,839"
"91","ARCI","330","330","348","326","348","Rise","18","5.45","808","56,176","1,895,589"
"92","ENRG","234","234","262","234","252","Rise","18","7.69","24,080","2,803,186","71,115,362"
"93","CAKK","181","183","210","182","199","Rise","18","9.94","19,677","2,060,358","40,530,574"
"94","PANR","226","228","246","222","244","Rise","18","7.96","1,831","129,013","3,039,365"
"95","ASLC","163","164","187","162","180","Rise","17","10.42","12,647","2,038,303","36,193,121"
"96","SMKL","370","374","386","374","386","Rise","16","4.32","529","16,534","625,046"
"97","BUKA","280","286","298","284","296","Rise","16","5.71","9,432","4,836,899","141,752,354"
"98","SMSM","1,270","1,275","1,300","1,270","1,285","Rise","15","1.18","793","25,497","3,279,537"
"99","JTPE","930","925","945","925","945","Rise","15","1.61","25","546","50,835"
"100","SGER","1,050","1,050","1,095","1,050","1,065","Rise","15","1.42","1,480","27,524","2,940,054"
"101","MYOR","1,950","1,965","1,990","1,945","1,965","Rise","15","0.76","3,396","76,443","15,033,807"
"102","LUCY","189","189","206","189","204","Rise","15","7.93","1,677","179,118","3,597,106"
"103","CSAP","650","650","670","650","665","Rise","15","2.30","99","8,037","536,759"
"104","CASS","382","382","400","382","396","Rise","14","3.66","66","1,049","40,500"
"105","MMLP","420","420","438","420","434","Rise","14","3.33","1,001","70,295","3,029,820"
"106","R-LQ45X","1,052","1,046","1,065","1,046","1,065","Rise","13","1.23","17","105","11,096"
"107","XIID","537","550","550","550","550","Rise","13","2.42","2","3","165"
"108","ZYRX","470","470","490","470","482","Rise","12","2.55","1,334","67,719","3,251,000"
"109","BESS-W","153","153","174","153","165","Rise","12","7.84","153","848","13,576"
"110","MTSM","187","187","200","184","198","Rise","11","5.88","42","603","11,461"
"111","ARII","197","197","224","196","208","Rise","11","5.58","216","5,563","115,797"
"112","TMPO","123","128","136","122","134","Rise","11","8.94","526","15,555","204,895"
"113","SINI-W","100","142","142","107","111","Rise","11","11.00","6","54","616"
"114","XIJI","643","649","655","649","654","Rise","11","1.71","16","224","14,577"
"115","MREI","3,200","3,220","3,260","3,210","3,210","Rise","10","0.31","4","12","3,886"
"116","MSIN","4,980","4,980","4,990","4,960","4,990","Rise","10","0.20","1,429","11,954","5,959,987"
"117","RANC","1,250","1,255","1,290","1,250","1,260","Rise","10","0.80","13","60","7,565"
"118","ADRO","3,020","3,040","3,080","2,990","3,030","Rise","10","0.33","10,940","942,957","286,153,733"
"119","DMMX","1,500","1,505","1,540","1,505","1,510","Rise","10","0.66","1,057","14,964","2,272,551"
"120","MASB","3,410","3,420","3,420","3,420","3,420","Rise","10","0.29","1","8","2,736"
